業管機關簡碼,業管子機關簡碼,CCTV 設備代碼,基礎路段代碼,參考影像圖片的監看方位,參考影像圖片,動態影像串流網址,設置地點位置類型,設備架設位置X坐標,設備架設位置Y坐標,地理識別碼,縣市代碼,縣市名稱,市區鄉鎮代碼,市區鄉鎮名稱,道路代碼,道路名稱,道路分類,所屬道路方向,路段起點描述,路段迄點描述,所在方向里程數,路側設備布設簡圖URL,來源端平台資料更新時間(yyyy-MM-ddHH:mm:ss),本平台資料更新時間(yyyy-MM-ddHH:mm:ss),資料代表時間(yyyy-MM-ddHH:mm:ss),資料代表日期(yyyy-MM-dd)
AuthorityCode,SubAuthorityCode,CCTVID,LinkID,Bearing,Image,VideoStreamUrl,LocationType,PositionLon,PositionLat,Geohash,CountyID,CountyName,TownID,TownName,RoadID,RoadName,RoadClass,RoadDirection,RoadSectionStart,RoadSectionEnd,LocationMile,LayoutMapURL,SrcUpdateTime,UpdateTime,InfoTime,InfoDate
THB,THB-1R,CCTV-12-0650-012-03,6251050000000F,,,https://cctv-ss03.thb.gov.tw:443/T65-12K+016,1,121.433,24.96773,wsqq530z,65000,新北市,13,土城區,625105F,台65線,6,N,,,12K+016,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-34-0290-041-01,3002900104018E,,,https://cctv-ss05.thb.gov.tw:443/T29-41K+300,1,120.551972,23.045974,wsjep5rk,64000,高雄市,33,甲仙區,300290,台29線,3,N,,,41K+300,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-31-019A-058-01,3001910005918E,,,https://cctv-ss05.thb.gov.tw:443/T19A-58K+000,1,120.3252778,22.87166667,wsjd45dj,64000,高雄市,23,阿蓮區,300191,台19甲線,3,S,,,58K+000,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-33-0110-123-01,3001100112372V,,,https://cctv-ss04.thb.gov.tw:443/T11-123K+900,1,121.3312107,23.0262344,wsn6bzy9,10014,臺東縣,2,成功鎮,300110,台11線,3,N,,,123K+900,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
NWT,,C000189,6251020100030F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000189,1,121.65691,25.06709,wsqw877f,65000,新北市,11,汐止區,625102F,大同路二段,6,NE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TPE,,T000386,6000430200090A,,,http://control.bote.gov.taipei/view_camera.html?ccd_id=386,1,121.5201,25.0933,wsqqv205,63000,臺北市,11,士林區,600043A,中正路,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TAO,,T506550,6372440400010H,,,https://cctvtraffic.tycg.gov.tw/camera140,1,121.28266,24.85618,wsqjrugm,68000,桃園市,3,大溪區,637244H,康莊路三段,6,S,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-4R,CCTV-43-0090-182-01,3000900118141U,,,https://cctv-ss06.thb.gov.tw:443/T9-182K+600,1,121.603489,24.040848,wsq2z0sb,10015,花蓮縣,4,新城鄉,300090,台9線,3,N,,,182K+600,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-37-0090-377-01,3000900137728V,,,https://cctv-ss05.thb.gov.tw:443/T9-377K+500,1,121.0458918,22.688935,wsn146qu,10014,臺東縣,9,太麻里鄉,300090,台9線,3,N,,,377K+500,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-32-0010-424-01,3000100042327T,,,https://cctv-ss05.thb.gov.tw:443/T1-424K+050,1,120.5391667,22.49055556,wevxyymb,10013,屏東縣,20,南州鄉,300010,台1線,3,S,,,424K+050,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-5R,CCTV-56-0180-090-002,3001800109043Q,,,https://cctv-ss06.thb.gov.tw:443/T18-90K+620,1,120.80829,23.50398,wsjvtncb,10010,嘉義縣,18,阿里山鄉,300180,台18線,3,W,,,90K+620,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-35-0090-452-02,3000900045265T,,,https://cctv-ss05.thb.gov.tw:443/T9-452K+500,1,120.694022,22.206795,wevy66we,10013,屏東縣,25,枋山鄉,300090,台9線,3,S,,,452K+500,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-5R,CCTV-56-0180-021-001,3001800102100Q,,,https://cctv-ss06.thb.gov.tw:443/T18-21K+040,1,120.48756,23.45019,wsjtmubr,10010,嘉義縣,13,中埔鄉,300180,台18線,3,W,,,21K+040,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C000087,6192540200110E,,,https://cctv9.kctmc.nat.gov.tw/play/jpg.php?devid={4edaf1e2-8dd6-6044-5dad-eb820d61f5c7}&amp;amp;L=33806a101aa5543ed05e71b6f76648a8,1,120.30191,22.63136,wsj89xcj,64000,高雄市,6,新興區,619254E,中正四路,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-4R,CCTV-41-0020-127-01,3000200112787G,,,https://cctv-ss01.thb.gov.tw:443/T2-127K+950,1,121.871965,24.906871,wsqttq0m,10002,宜蘭縣,4,頭城鎮,300020,台2線,3,W,,,127K+950,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C000267,3001700124697E,,,https://cctv9.kctmc.nat.gov.tw/play/jpg.php?devid={970e88e6-2755-6804-8131-579ca8e12dcf}&amp;amp;L=33806a101aa5543ed05e71b6f76648a8,2,120.398,22.50068,wsj858p5,64000,高雄市,13,林園區,300170,台17線,3,N,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000245,6192360300028E,,,https://cctv6.kctmc.nat.gov.tw/3a3bad81,2,120.24993,22.88075,wsjd0m76,64000,高雄市,25,湖內區,619236E,中山路一段,6,SE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000221,6208540300000E,,,https://cctv6.kctmc.nat.gov.tw/9a4a8e39,1,120.32866,22.58041,wsj86nss,64000,高雄市,9,前鎮區,620854E,翠亨南路,6,SE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TXG,,C000105,6079690100020B,,,http://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000105,1,120.7243834,24.2537139,wsmcgpkb,66000,臺中市,9,豐原區,607969B,豐陽路,6,NE,,,,,2022-10-24 00:01:16,2022-10-28 06:30:00,2022-10-24 00:01:16,2022-10-24
THB,THB-4R,CCTV-42-009D-054-02,3000940105382U,,,https://cctv-ss02.thb.gov.tw:443/T9D-054K+070,1,121.7447,24.314875,wsqd667u,10015,花蓮縣,11,秀林鄉,300094,台9丁線,3,N,,,054K+070,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-1R,CCTV-12-009A-006-02,3000910000689F,,,https://cctv-ss03.thb.gov.tw:443/T9A-6K+950,1,121.5516,24.90907,wsqmtyx1,65000,新北市,6,新店區,300091,台9甲線,3,S,,,6K+950,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-5R,CCTV-54-019A-057-002,6157000000050D,,,https://cctv-ss06.thb.gov.tw:443/T19A-57K+212,1,120.33845,22.89049,wsjd4r5f,67000,臺南市,29,關廟區,615700D,台19甲線,6,N,,,57K+212,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C000348,6190530600070E,,,https://cctv1.kctmc.nat.gov.tw/1761ad24,1,120.34118,22.62451,wsj8dqtv,64000,高雄市,8,苓雅區,619053E,三多一路,6,W,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000318,6192180300060E,,,http://221.120.37.157:10180/,1,120.31574,22.59596,wsj89c7p,64000,高雄市,9,前鎮區,619218E,中山三路,6,SE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000207,6208630700000E,,,https://cctv7.kctmc.nat.gov.tw/play/jpg.php?devid={2c13f72e-075f-9274-65dc-04f4adb96db7}&amp;amp;L=dfe8885c1acbe4c5e5fb91e6d9bd3724,1,120.33317,22.72064,wsj960pv,64000,高雄市,17,仁武區,620863E,鳳仁路,6,NW,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
CHA,,CCTV100,4014400100550N,,,https://117.56.220.4:8403/Interface/Cameras/GetJPEGStream?Camera=CCTV100&amp;amp;Width=320&amp;amp;Height=240&amp;amp;Quality=50&amp;amp;FPS=5&amp;amp;AuthUser=web,4,120.444653,24.027547,wsm8sy14,10007,彰化縣,6,福興鄉,,,0,,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-1R,CCTV-17-062A-000-04,1006210100110C,,,https://cctv-ss02.thb.gov.tw:443/T62A-1K+270-1,1,121.7641,25.13754,wsqx4b1u,10017,基隆市,1,中正區,100621,台62甲線,1,W,,,1K+270,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
NWT,,C000104,6253940400030F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000104,1,121.44231,25.04914,wsqqe2p9,65000,新北市,5,新莊區,625394F,中環路三段,6,S,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-4R,CCTV-42-0090-160-05,3000900115927U,,,https://cctv-ss06.thb.gov.tw:443/T9-160K+370,1,121.67296,24.208292,wsq98wzx,10015,花蓮縣,11,秀林鄉,300090,台9線,3,N,,,160K+370,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
STSP,,CCTV2,6163110400010D,,,https://stspcctv.stsp.gov.tw:5004/live?mode=0&amp;amp;channel=2,1,120.28074,23.08453,wsje343v,67000,臺南市,20,新市區,616311D,新港社大道,6,S,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
CHA,,CCTV81,3000100119001N,,,https://117.56.220.4:8403/Interface/Cameras/GetJPEGStream?Camera=CCTV81&amp;amp;Width=320&amp;amp;Height=240&amp;amp;Quality=50&amp;amp;FPS=5&amp;amp;AuthUser=web,4,120.552647,24.084105,wsm9p0ru,10007,彰化縣,1,彰化市,,,0,,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TXG,,C000244,6079720500030B,,,http://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000244,1,120.7244518,24.2555205,wsmcgpsf,66000,臺中市,9,豐原區,607972B,豐勢路一段,6,SW,,,,,2022-10-24 00:01:16,2022-10-28 06:30:00,2022-10-24 00:01:16,2022-10-24
TXG,,C000002,6046910700020B,,,http://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000002,1,120.659754,24.193044,wsmc9sjy,66000,臺中市,8,北屯區,604691B,中清路二段,6,NW,,,,,2022-10-24 00:01:16,2022-10-28 06:30:00,2022-10-24 00:01:16,2022-10-24
NWT,,C000146,6253560000010F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000146,2,121.43813,24.96851,wsqq53ks,65000,新北市,13,土城區,625356F,中華路二段,6,N,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-2R,CCTV-22-0610-155-01,6070970000050B,,,https://cctv-ss04.thb.gov.tw:443/T61-155K+500,1,120.531368,24.238215,wsm9yu2m,66000,臺中市,14,梧棲區,607097B,台61線,6,N,,,155K+500,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C000242,3000100135893E,,,https://cctv4.kctmc.nat.gov.tw/688ab405,1,120.29209,22.80175,wsj99qfj,64000,高雄市,19,岡山區,300010,台1線,3,N,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
HSZ,,CCTV110-XC,6610720100030O,,,http://223.200.7.29/jpeg?cam=46,1,120.945338,24.796678,wsqj04je,10018,新竹市,3,香山區,661072O,牛埔東路,6,NE,,,,,2022-10-24 00:00:01,2022-10-28 06:30:00,2022-10-24 00:00:01,2022-10-24
TAO,,TA06840,6353850200030H,,,https://cctvtraffic.tycg.gov.tw/camera104,2,121.20352,25.06161,wsqnw43d,68000,桃園市,6,大園區,635385H,中正東路,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000067,6197850400020E,,,https://cctv3.kctmc.nat.gov.tw/861c80fd,1,120.31667,22.6087,wsj89ggc,64000,高雄市,9,前鎮區,619785E,光華二路,6,S,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-2R,CCTV-22-0030-177-01,3000300017748B,,,https://cctv-ss03.thb.gov.tw:443/T3-177K+750,1,120.7024189,24.1890894,wsmcdekz,66000,臺中市,17,潭子區,300030,台3線,3,S,,,177K+750,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
NWT,,C000046,6251010200000F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000046,1,121.62155,25.05493,wsqqx945,65000,新北市,11,汐止區,625101F,大同路一段,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-1R,CCTV-12-0650-003-02,1006500100300F,,,https://cctv-ss03.thb.gov.tw:443/T65-3K+010,1,121.4422,25.04011,wsqq7qrt,65000,新北市,5,新莊區,100650,台65線,1,N,,,3K+010,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-4R,CCTV-41-0070-126-01,3000700012633G,,,https://cctv-ss02.thb.gov.tw:443/T7-126K+700,1,121.800055,24.736836,wsqsexhn,10002,宜蘭縣,6,壯圍鄉,300070,台7線,3,S,,,126K+700,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
TPE,,T000328,6005420600060A,,,http://control.bote.gov.taipei/view_camera.html?ccd_id=328,1,121.52309,25.05785,wsqqt3dk,63000,臺北市,4,中山區,600542A,民生西路,6,W,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-1R,CCTV-11-002D-012-02,3000240001204F,,,https://cctv-ss01.thb.gov.tw:443/T2D-12K+230(S),1,121.8191,25.11383,wsqwu5cf,65000,新北市,12,瑞芳區,300024,台2丁線,3,E,,,12K+230,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
TPE,,T000041,6003950200000A,,,http://control.bote.gov.taipei/view_camera.html?ccd_id=41,1,121.50872,25.07611,wsqqsuzy,63000,臺北市,6,大同區,600395A,敦煌路,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-4R,CCTV-42-002E-009-01,3000250100915G,,,https://cctv-ss01.thb.gov.tw:443/T2E-009K+050,1,121.835531,24.597095,wsqeumvb,10002,宜蘭縣,3,蘇澳鎮,300025,台2戊線,3,W,,,009K+050,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-2R,CCTV-21-0010-123-02,3000100112369K,,,https://cctv-ss03.thb.gov.tw:443/T1-123K+850,1,120.7152131,24.5704588,wsmgfbyj,10005,苗栗縣,3,通霄鎮,300010,台1線,3,N,,,123K+850,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C700003,3000300140618E,,,https://cctv4.kctmc.nat.gov.tw/2f22608a,1,120.48485,22.88215,wsjdjtw6,64000,高雄市,30,旗山區,300030,台3線,3,N,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
NWT,,C000246,6275300600010F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000246,1,121.53715,24.96133,wsqqj8hd,65000,新北市,6,新店區,627530F,環河路,6,W,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TPE,,T000023,6005520400000A,,,http://control.bote.gov.taipei/view_camera.html?ccd_id=23,1,121.52813,25.01182,wsqqm3q0,63000,臺北市,5,中正區,600552A,永福橋引道,6,S,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
NWT,,C000111,6262320300000F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000111,1,121.49663,25.0543,wsqqs8zp,65000,新北市,2,三重區,626232F,忠孝橋引道,6,SE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-5R,CCTV-51-0610-227-001,1006100122510P,,,https://cctv-ss06.thb.gov.tw:443/T61-227K+000,1,120.21904,23.72607,wsjqzxhy,10009,雲林縣,16,臺西鄉,100610,台61線,1,N,,,227K+000,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
TXG,,C000129,6056660200060B,,,http://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000129,1,120.732138,24.29851,wsmf5r6m,66000,臺中市,15,后里區,605666B,后科路二段,6,E,,,,,2022-10-24 00:01:16,2022-10-28 06:30:00,2022-10-24 00:01:16,2022-10-24
CHA,,CCTV66,3000100019126N,,,https://117.56.220.4:8403/Interface/Cameras/GetJPEGStream?Camera=CCTV66&amp;amp;Width=320&amp;amp;Height=240&amp;amp;Quality=50&amp;amp;FPS=5&amp;amp;AuthUser=web,4,120.544333,24.077653,wsm8zp1w,10007,彰化縣,1,彰化市,,,0,,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TAO,,TA14700,6371600100000H,,,https://cctvtraffic.tycg.gov.tw/camera127,2,121.23062,25.02889,wsqnqsm7,68000,桃園市,6,大園區,637160H,高鐵北路三段,6,NE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-5R,CCTV-54-0010-326-001,3000100032615D,,,https://cctv-ss06.thb.gov.tw:443/T1-326K+170,1,120.25457,23.04213,wsje06ww,67000,臺南市,31,永康區,300010,台1線,3,S,,,326K+170,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-1R,CCTV-11-0020-099-01,3000200109902F,,,https://cctv-ss01.thb.gov.tw:443/T2-99K+025(S),1,121.9311,25.02014,wsqwqdg8,65000,新北市,26,貢寮區,300020,台2線,3,W,,,99K+025,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-4R,CCTV-44-0080-172-01,3000800017263U,,,https://cctv-ss02.thb.gov.tw:443/T8-172K+205,1,121.528466,24.171088,wsq3t2nq,10015,花蓮縣,11,秀林鄉,300080,台8線,3,E,,,172K+205,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-4R,CCTV-41-1920-004-01,4019200100059G,,,https://cctv-ss01.thb.gov.tw:443/T192-004K+500,1,121.775733,24.771216,wsqsgj6q,10002,宜蘭縣,6,壯圍鄉,401920,192線,4,W,,,004K+500,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
HSZ,,CCTV102-EC,6610940700020O,,,http://223.200.7.29/jpeg?cam=38,1,120.974601,24.808761,wsqj0u71,10018,新竹市,1,東區,661094O,民權路,6,NW,,,,,2022-10-24 00:00:01,2022-10-28 06:30:00,2022-10-24 00:00:01,2022-10-24
THB,THB-4R,CCTV-42-0090-140-17,3000900014009G,,,https://cctv-ss05.thb.gov.tw:443/T9-140K+711(S),1,121.763743,24.33893,wsqd6yc8,10002,宜蘭縣,12,南澳鄉,300090,台9線,3,S,,,140K+711,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C000223,6192810600020E,,,https://cctv4.kctmc.nat.gov.tw/ea8cc67a,1,120.33456,22.58313,wsj86r0u,64000,高雄市,9,前鎮區,619281E,中安路,6,W,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TAO,,T205020,6382700400010H,,,https://cctvtraffic.tycg.gov.tw/camera034,2,121.20732,24.96077,wsqjypur,68000,桃園市,2,中壢區,638270H,環西路,6,S,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-4R,CCTV-43-0110-010-01,3001100101012U,,,https://cctv-ss01.thb.gov.tw:443/T11-010K+250,1,121.60375,23.893067,wsnrzjt5,10015,花蓮縣,6,壽豐鄉,300110,台11線,3,N,,,010K+250,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
NWT,,C000268,6268260000010F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000268,1,121.47215,25.06205,wsqqs4mm,65000,新北市,2,三重區,626826F,疏洪西路,6,N,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-2R,CCTV-21-0010-131-01,3000100013183K,,,https://cctv-ss03.thb.gov.tw:443/T1-131K+850,1,120.6886447,24.5040909,wsmg6kff,10005,苗栗縣,3,通霄鎮,300010,台1線,3,S,,,131K+850,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-4R,CCTV-45-007A-021-01,3000710002085G,,,https://cctv-ss01.thb.gov.tw:443/T7A-021K+250,1,121.412989,24.469785,wsq74yd4,10002,宜蘭縣,11,大同鄉,300071,台7甲線,3,S,,,021K+250,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
TPE,,T000167,6008250400060A,,,http://control.bote.gov.taipei/view_camera.html?ccd_id=167,1,121.51226,25.03533,wsqqmjd9,63000,臺北市,5,中正區,600825A,重慶南路一段,6,S,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TXG,,C000071,6068610000070B,,,http://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000071,1,120.686497,24.193556,wsmcdk31,66000,臺中市,8,北屯區,606861B,崇德路三段,6,N,,,,,2022-10-24 00:01:16,2022-10-28 06:30:00,2022-10-24 00:01:16,2022-10-24
THB,THB-2R,CCTV-21-0130-026-01,3001300002555K,,,https://cctv-ss03.thb.gov.tw:443/T13-026K+150,1,120.8384066,24.5738874,wsmgv9xc,10005,苗栗縣,1,苗栗市,300130,台13線,3,S,,,26K+150,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
TXG,,C000144,6078910600060B,,,http://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000144,1,120.676269,24.201197,wsmcdj9y,66000,臺中市,8,北屯區,607891B,環中路一段,6,W,,,,,2022-10-24 00:01:16,2022-10-28 06:30:00,2022-10-24 00:01:16,2022-10-24
THB,THB-3R,CCTV-31-001E-008-01,3000100038637E,,,https://cctv-ss04.thb.gov.tw:443/T1E-8K+700,1,120.3891193,22.6338669,wsj8g82e,64000,高雄市,14,大寮區,300010,台1戊線,3,S,,,8K+700,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-2R,CCTV-22-0030-193-01,3000300119315B,,,https://cctv-ss03.thb.gov.tw:443/T3-193K+250,1,120.6967248,24.0699267,wsmbftb9,66000,臺中市,26,霧峰區,300030,台3線,3,N,,,193K+250,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
NWT,,C000220,6261430100000F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000220,2,121.38692,24.95127,wsqmfnpr,65000,新北市,7,樹林區,626143F,佳園路三段,6,NE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-3R,CCTV-31-0010-392-01,3000100039238T,,,https://cctv-ss05.thb.gov.tw:443/T1-392K+300,1,120.447275,22.649873,wsj8ug71,10013,屏東縣,1,屏東市,300010,台1線,3,S,,,392K+300,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-2R,CCTV-21-0130-001-01,3001300000166K,,,https://cctv-ss04.thb.gov.tw:443/T13-1K+700,1,120.906611,24.73175,wsmuxq38,10005,苗栗縣,4,竹南鎮,300130,台13線,3,S,,,1K+700,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
TPE,,T000378,6002720200000A,,,http://control.bote.gov.taipei/view_camera.html?ccd_id=378,1,121.59777,25.05168,wsqqx08b,63000,臺北市,9,南港區,600272A,市民大道八段,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-4R,CCTV-42-0020-164-02,3000200016372G,,,https://cctv-ss01.thb.gov.tw:443/T2-164K+000,1,121.848195,24.615745,wsqsh9pj,10002,宜蘭縣,3,蘇澳鎮,300020,台2線,3,E,,,164K+000,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-2R,CCTV-23-0610-193-04,6584570200040N,,,https://cctv-ss04.thb.gov.tw:443/T61-193K+365,2,120.3399738,23.96819939,wsm867kb,10007,彰化縣,23,芳苑鄉,658457N,台61線,6,E,,,193K+365,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-1R,CCTV-14-0020-075-02,3000200107492F,,,https://cctv-ss01.thb.gov.tw:443/T2-75K+500,1,121.838,25.12757,wsqwuqrd,65000,新北市,12,瑞芳區,300020,台2線,3,W,,,75K+500,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-31-0010-392-02,3000100139238T,,,https://cctv-ss05.thb.gov.tw:443/T1-392K+310,1,120.447356,22.649973,wsj8ug71,10013,屏東縣,1,屏東市,300010,台1線,3,N,,,392K+310,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
TAO,,T205700,6382680200000H,,,https://cctvtraffic.tycg.gov.tw/camera031,2,121.22046,24.96643,wsqnn2yp,68000,桃園市,2,中壢區,638268H,環北路,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
